entity1	entity2	label	text	id	beg1	beg2	end1	end2
부퍼탈	독일	인물:출생_국가	부퍼탈 SV(Wuppertaler SV)는  독일   [[ 노르트라인베스트팔렌_주 ]] 의 도시인  부퍼탈 의 축구 클럽으로, 현재  [[ 레기오날리가 ]]  서부 리그에서 활동하고 있다.	country434	56	25	58	26
WWE	빈스_맥마흔	단체:구성원	한때  [[ 차이나_(프로레슬링_선수) ]] 와 연인이기도 했으나  WWE  회장  빈스_맥마흔 스테파니_맥마흔 ]] 과 결혼했다.	keyPerson426	38	47	40	52
레흐_카친스키	스몰렌스크	인물:사망_국가	2010년 폴란드 공군 Tu-154 추락사고는  [[ 2010년 ]]   [[ 4월_10일 ]] ,  [[ 폴란드 ]] 의  레흐_카친스키  대통령 등이 탑승한 폴란드 공군 소속  [[ 투폴레프_Tu-154 ]] 가  [[ 러시아 ]]   스몰렌스크에서 추락하여 탑승자 전원이 사망한 사건이다.	deathPlace137	70	134	76	138
YB_(밴드)	유병열	단체:구성원	2000년,  YB_(밴드) 에서 활동한 기타리스트  유병열치환과 자유의 드러머였던 나성호를 주축으로 결성되었다.	pastMember133	8	30	14	32
산타페_주	아르헨티나	인물:출생_국가	산타페(Santa Fe)는  아르헨티나   산타페_주 의 주도이다.	country119	24	16	28	20
밸브_코퍼레이션	게이브_뉴얼	단체:구성원	해링턴은  [[ 1996년 ]] 에  게이브_뉴얼 과 함께  밸브_코퍼레이션 을 공동으로 설립하였다.	keyPerson118	34	21	41	26
Stop!_(샘_브라운의_노래)	샘_브라운_(가수)	인물:제작	 Stop!_(샘_브라운의_노래) 은  샘_브라운_(가수)bj_ ]] 의 노래이다.	musicalArtist114	1	22	17	31
닌텐도_3DS	닌텐도	단체:제작	2013년에는  닌텐도 의  [[ Wii_U ]] ,  닌텐도_3DS ,  [[ 마이크로소프트 ]] 의  [[ 엑스박스_원 ]] ,  [[ 소니 ]] 의  [[ 플레이스테이션_4 ]] 와  [[ 플레이스테이션_비타 ]] 를 포함하여 8세대 게임 콘솔이 등장하였다.	manufacturer318	31	9	37	11
슬로우_모션_(노래)	나카모리_아키나	인물:제작	  [[ 1983년 ]] 에  [[ 오디션 ]]  방송 《스타 탄생!》() 제46회 결전대회에서  나카모리_아키나 의 〈 슬로우_모션_(노래) 〉을 불러 우승을 차지하고 연예계에 입문했다.	musicalArtist302	68	55	78	62
Problem	아리아나_그란데	인물:제작	"2014년 5월에는 미국의 가수  아리아나_그란데 의 싱글 "" Problem ""을 피쳐링했다."	musicalArtist306	35	19	41	26
제임스_블런트	영국	인물:출신성분/국적	All The Lost Souls(올 더 로스트 소울)은  영국 의  [[ 싱어송라이터 ]]   제임스_블런트 의 두 번째  [[ 정규_음반 ]] 이다.	nationality317	54	33	60	34
엘우에드_주	알제리	인물:출생_국가	엘우에드(, )는  알제리 의 도시로  엘우에드_주 의 주도이며 면적은 77.0㎢, 높이는 76m, 인구는 134,699명(2008년 기준), 인구 밀도는 1,700명/㎢이다.	country355	22	11	27	13
Good-bye_My_Loneliness	ZARD	인물:제작	《Good-bye My Loneliness》는 일본의 밴드  ZARD 의 첫 번째 정규 앨범이자 동시에 데뷔 앨범이며, 그들의 첫 데뷔곡 〈 Good-bye_My_Loneliness 〉가 발매된 지 불과 2개월이 채 안되었던 1991년 3월 27일 발매되었다.	musicalArtist345	79	34	100	37
코에이	노부나가의_야망_시리즈	단체:제작	《노부나가의 야망 전국판》()은  코에이 에서 발매된  [[ 역사_시뮬레이션_게임 ]] 으로, 전작 《 [[ 노부나가의_야망_(게임) ]] 》에 이은  노부나가의_야망_시리즈작품이다.	product350	19	85	21	96
벨기에_왕비_파올라	알베르_2세_(벨기에)	인물:배우자	 이 즉위식에는 네덜란드의  [[ 베아트릭스 ]]  여왕 및 앙리의 외숙부인  알베르_2세_(벨기에) , 외숙모  벨기에_왕비_파올라  등이 참석했다.	spouse347	64	44	73	55
삼성_갤럭시_노트_7	삼성전자	단체:제작	삼성 갤럭시 노트 7 리콜 사태는 2016년 8월에 출시한  삼성전자 의 프리미엄 스마트폰  삼성_갤럭시_노트_7 (모델명:SM-N930)이 배터리 결함에 의한 발화 사건으로 인해 전량  [[ 리콜 ]]  된 후 리콜된 교환 제품도 재발화로 2차 리콜되며 단종 되기까지의 일련의 사태를 말한다.	manufacturer147	52	34	62	37
채동선	작곡가	인물:직업/직함	 가곡 그리워와 조국의 작곡자이며  [[ 바이올린 ]]  연주가 겸  작곡가   채동선 (蔡東鮮)과  [[ 소프라노 ]]   [[ 성악가 ]]  겸  [[ 피아노 ]]  연주가  [[ 채선엽 ]] (蔡善葉)의 남동생이며 한국 최초의  [[ 물리학 ]]  분야 전공  [[ 자연과학 ]]  [[ 박사 ]]   [[ 최규남 ]] (崔奎南)의 처남이기도 하다.	occupation148	45	39	47	41
피르_무함마드_이븐_자한기르	자한기르_(티무르_왕조)	인물:부모님	 그는 죽기 직전에 맏아들  자한기르_(티무르_왕조) 의 둘째 아들  피르_무함마드_이븐_자한기르 를 후계자로 지목했다.	parent159	39	16	53	28
김질_(1422년)	정창손	인물:기타_친족	고려 명장 충렬공  [[ 김방경 ]] 의 후손.  [[ 조선 ]] 의  [[ 개국공신 ]] 인 익원공  [[ 김사형 ]] 의 후손으로,  [[ 조선_세조 ]]  즉위에 공을 세운  [[ 좌의정 ]]   김질_(1422년) (金石質)의 넷째 아들이며 어머니는 동래정씨로  [[ 의정부 ]]  [[ 영의정 ]] 을 지낸  정창손(鄭昌孫)의 딸이다.	relative146	113	178	122	180
From_The_Yellow_Room	이루마	인물:제작	Indigo은  이루마 의  [[ 정규_음반 ]]  3집 《 From_The_Yellow_Room 》에 수록된 곡으로  [[ 인디고 ]]  빛깔의 밤 하늘을 바라보며 만든 로맨틱한 곡이다.	artist339	34	9	53	11
교토_애니메이션	애니메이션	단체:제작	  [[ 2012년 ]]  10월 4일부터 12월 19일까지  교토_애니메이션 에서 제작한  애니메이션 1기가 방송되었으며 그 뒤 2014년 1월 8일부터 3월 26일까지 제 2기인 '중2병이라도 사랑이 하고 싶어! -연-'이 도쿄 MX에서 방영되었다.	industry336	35	52	42	56
전한_무제	전한_경제	인물:부모님	 경제 4년(기원전 153년)  전한_경제 의 10남  전한_무제 에게 봉해져 다시 교동나라가 됐으나 이 과정에서  [[ 동래군_(중국) ]] 이 교동군에서 분할돼 교동나라는 오초칠국의 난 이전보다 축소됐다.	parent332	31	18	35	22
서광범	서재필	인물:기타_친족	  [[ 의정부 ]]  [[ 영의정 ]]  심재  [[ 서용보 ]] 의 종손이고,  [[ 갑신정변 ]] 의 주역인 개화파  서광범 의 삼종조부,  서재필 되는 친척이기도 하다.	relative325	69	82	71	84
조선_태종	효령대군	인물:자녀	  조선_태종 의 차남  효령대군손이며  [[ 대한민국 ]] 의 정치인  [[ 이기붕 ]] 의 증조 할아버지이다.	child32	2	14	6	17
김일성_장군의_노래	김원균	인물:제작	 작곡자  김원균 은  김일성_장군의_노래 를 작곡한 조선민주주의인민공화국의 대표적인 음악가로, 조선민주주의인민공화국  [[ 최고인민회의 ]]  상임위원회에서는 2006년 평양음악대학의 이름을  [[ 김원균평양음악대학 ]] 으로 개칭하였다.	composer33	13	6	22	8
라퀼라_현	이탈리아	인물:출생_국가	카스텔델몬테()는  이탈리아   [[ 아브루초_주 ]]   라퀼라_현 에 있는  [[ 코무네 ]] 이다.	country25	33	11	37	14
태극기_휘날리며	강제규	인물:제작	 이어 2월 개봉한  강제규  감독의 《 태극기_휘날리며 》에는  [[ 장동건 ]] (이진태 역)의 약혼녀 영신 역으로 출연하였다.	director30	23	12	30	14
벤틀리	폭스바겐_AG	단체:상위_단체	벤틀리 컨티넨탈()은  폭스바겐_AG 의 자회사이자  [[ 영국 ]] 의 수공 자동차 회사인  벤틀리 에서 제조하는 자동차 모델이다.	parentCompany31	53	13	55	19
1번가의_기적	윤제균	인물:제작	 이후  [[ 2006년 ]]   [[ 김태균_(영화_감독) ]]  감독의 《 [[ 백만장자의_첫사랑 ]] 》과  [[ 2007년 ]]   윤제균  감독의《 1번가의_기적 》등 다른 영화에서도 조연으로 활약하였다.	producer20	88	78	94	80
이기적_유전자	리처드_도킨스	인물:제작	 이 두 지향방향은 모두  리처드_도킨스 의 책  이기적_유전자 에서 나온 것이다.	author226	28	15	34	21
카라_(음악_그룹)	강지영	단체:구성원	 사촌여동생은  카라_(음악_그룹) 의 전 멤버  강지영이다.	pastMember233	9	28	18	30
모토로라_모빌리티	스마트폰	단체:제작	모토로라 디파이+(Motorola Defy+) 또는 모토로라 디파이 플러스(Motorola Defy Plus)는  모토로라_모빌리티 에서 제조/판매하는  [[ 안드로이드_(운영_체제) ]]   스마트폰다.	product229	64	108	72	111
린다_맥마흔	빈스_맥마흔	인물:배우자	가족은 아버지  빈스_맥마흔 과 어머니  린다_맥마흔 , 여동생  [[ 스테퍼니_맥마흔 ]] 이 있고,  [[ 트리플_H ]] 의 처남이기도 하다.	spouse235	23	9	28	14
언_애듀케이션	닉_혼비	인물:제작	그녀의 인생에 있어 전환점이 된 22살에, 그녀는 덴마크 감독  [[ 로네_시에비 ]] 이 감독을 맡고  닉_혼비 가 각본을 쓴 2009년의 독립 영화 《 언_애듀케이션 》에서 주연인 제니에 캐스팅되었다.	writer230	87	59	93	62
워크맨	소니	단체:제작	 8월에는  소니 의 포터블 오디오 ‘ 워크맨 ’인 NW-A16에 본작과 《아노하나》를 컬레버레이션한 “워크맨 A 시리즈 ‘코코사케’×‘아노하나’ 컬레버레이션 모델”이 소니 스토어에서 한정으로 발매됐다.	manufacturer400	22	7	24	8
쥬얼리	하주연	단체:구성원	딸  하주연 (여성 4인조 그룹 전  쥬얼리  멤버)	pastMember412	21	3	23	5
명성황후	경복궁	인물:사망_국가	 그는  [[ 을미사변 ]]  때  경복궁  건청궁에서 있었던  명성황후  시해 사건을 직접 목격한 2명의 외국인 중 한 사람이기도 하다.	deathPlace164	36	20	39	22
아이언맨_2	존_패브로	인물:제작	 그녀는 《 아이언맨_2 》에서의 블랙 위도우 역을 연기하기로  존_패브로 택한 첫 번째 배우였으나, 《 [[ 걸리버_여행기_(2010년_영화) ]] 》의 일정 문제로 인해 배역을  [[ 스칼렛_요한슨 ]] 에게 어쩔수 없이 넘겨주었다.	director173	7	36	12	40
국민당_(남아프리카_공화국)	백인우월주의	단체:정치/종교성향	:  [[ 아파르트헤이트 ]]  체제 시절에는  [[ 좌익 ]]  정당은 금지되었으며,  [[ 우익 ]] 정당이나  [[ 자유주의 ]]  정당은 활동 가능했으나, 당시 투표권은 백인에게만 주어졌기에  백인우월주의 적, 백인지배적인  국민당_(남아프리카_공화국) 이 거이 모든 의석을 차지하였다.	ideology168	130	112	144	117
역사_(헤로도토스)	헤로도토스	인물:제작	서양 최초의 역사가이기에 역사의 아버지라고 불리는  헤로도토스 는 《 역사_(헤로도토스) 》를 저술했다.	author280	39	29	48	33
부시_(밴드)	개빈_로즈데일	단체:구성원	  [[ 록 ]]  밴드  부시_(밴드) 의 리드 보컬  개빈_로즈데일[[ 싱어송라이터 ]]  펄 로의 딸이다.	currentMember286	15	32	21	38
네버_렛_미_고	마크_로마넥	인물:제작	 같은 해, 가필드는  [[ 가즈오_이시구로 ]] 의 2005년 소설 《 [[ 나를_보내지마 ]] 》를 원작으로 한  마크_로마넥  감독 SF 디스토피아 영화 《 네버_렛_미_고 》에  [[ 캐리_멀리건 ]] ,  [[ 키이라_나이틀리 ]] 와 함께 연기하였다.	director216	91	66	98	71
이산해	이지함	인물:기타_친족	 또한 12대 방조인 이계전의 후손 중에는  [[ 조선 ]]  중기의 철학자  이지함 과 화가  [[ 이산보 ]] ,  [[ 조선_선조 ]] 때  [[ 의정부 ]]  [[ 영의정 ]] 을 지낸  이산해 가 배출되기도 했다.	relative218	109	44	111	46
가이낙스	안노_히데아키	단체:창립자	 다이콘3와  [[ 다이콘필름 ]] 로 관심을 끈 애니메이터  안노_히데아키 ,  [[ 사다모토_요시유키 ]] ,  [[ 아카이_타카미 ]] ,  [[ 히구치_신지 ]] 는  가이낙스  스튜디오를 열었다.	foundedBy93	98	35	101	41
Wii_리모컨	닌텐도	단체:제작	Wii 모션플러스(Wii MotionPlus)는,  닌텐도 가 개발한  Wii_리모컨 용 하드웨어이다.	manufacturer96	40	29	46	31
평안운수	KD운송그룹	단체:상위_단체	의정부시의 시내버스는  [[ 의정부시 ]] 를 주관으로 담당하는 시내버스로 주요 운행 업체는  KD운송그룹  계열 버스회사인  평안운수 와  [[ 명진여객 ]] 이다.	parentCompany87	71	53	74	58
박정희	육영수	인물:배우자	  [[ 1963년 ]]   [[ 2월_25일 ]] 에 순회대사 자격으로 숙모이자 대통령  박정희 의 아내  육영수주여행길에 나서기도 하였다.	spouse95	51	61	53	63
랜돌프_처칠_경	윈스턴_처칠	인물:자녀	  윈스턴_처칠 의 부친  랜돌프_처칠_경 은 조지가 매우 엄격한 아버지였다고 회고했다.	child74	15	2	22	7
Family_(Special_Edition)	마이티_마우스_(음악_그룹)	인물:제작	 2008년 11월 17일에는  마이티_마우스_(음악_그룹) 의 싱글 〈 Family_(Special_Edition) 〉에 피처링으로 참여했다.	artist44	41	18	64	32
The_Beatles	비틀즈	인물:제작	〈Helter Skelter〉(헬터 스켈터)는  [[ 1968년 ]]  발매된  비틀즈 의 앨범 《 The_Beatles 》에 수록된 곡이다.	artist50	56	45	66	47
오사카_부	일본	인물:출생_국가	구로몬 시장()는  일본   오사카_부   [[ 오사카_시 ]]   [[ 주오_구_(오사카_시) ]]   [[ 닛폰바시 ]] 에 있는  [[ 시장 ]] ,  [[ 상점가 ]] 이다.	country53	16	11	20	12
김일성	조선민주주의인민공화국	인물:출신성분/국적	 이에  조선민주주의인민공화국 의  김일성 은  [[ 강계시 ]] 를 임시 수도로 정하고  [[ 중화인민공화국 ]] 에게 지원을 요청하였다.	nationality40	20	5	22	15
조승연_(배우)	배우	인물:직업/직함	연극배우 활약 초중반 시절이던  [[ 1990년대 ]]  중반에  [[ 연극 ]]  활동을 같이 한  배우 로는  [[ 윤다훈 ]] ,  [[ 김동석_(1966년) ]] ,  [[ 정은표 ]] ,  [[ 엄효섭 ]] ,  [[ 성동일 ]] ,  조승연_(배우)  등이 있다.	occupation59	137	57	144	58
빌리_브란트	독일_사회민주당	인물:소속단체	 처음으로  독일_사회민주당 의  빌리_브란트 가 부총리를 맡아 연방정부에 참여했다.	party45	19	7	24	14
